season,highest_buy_player,highest_buy_price_cr,highest_buy_team,orange_cap,purple_cap,mvp,buy_runs,buy_balls_faced,buy_sr,buy_wickets,buy_balls_bowled,buy_economy,won_orange,won_purple,won_mvp,won_any
2008,MS Dhoni,9.5,CSK,Shaun Marsh,Sohail Tanvir,Shane Watson,414,310,133.55,17.0,360.0,7.38,False,False,False,False
2009,Kevin Pietersen,9.8,RCB,Matthew Hayden,RP Singh,Adam Gilchrist,93,85,109.41,4.0,78.0,6.54,False,False,False,False
2010,Kieron Pollard,4.8,MI,Sachin Tendulkar,Pragyan Ojha,Sachin Tendulkar,273,147,185.71,15.0,222.0,7.41,False,False,False,False
2011,Gautam Gambhir,14.9,KKR,Chris Gayle,Lasith Malinga,Chris Gayle,378,317,119.24,,,,False,False,False,False
2012,Ravindra Jadeja,12.8,CSK,Chris Gayle,Morne Morkel,Sunil Narine,191,151,126.49,12.0,210.0,7.8,False,False,False,False
2013,Glenn Maxwell,6.3,MI,Michael Hussey,Dwayne Bravo,Shane Watson,36,27,133.33,0.0,12.0,11.5,False,False,False,False
2014,Yuvraj Singh,14.0,RCB,Robin Uthappa,Mohit Sharma,Glenn Maxwell,376,278,135.25,5.0,136.0,8.25,False,False,False,False
2015,Yuvraj Singh,16.0,DD,David Warner,Dwayne Bravo,Andre Russell,248,210,118.1,1.0,54.0,8.0,False,False,False,False
2016,Shane Watson,9.5,RCB,Virat Kohli,Bhuvneshwar Kumar,Virat Kohli,179,134,133.58,20.0,339.0,8.58,False,False,False,False
2017,Ben Stokes,14.5,RPS,David Warner,Bhuvneshwar Kumar,Ben Stokes,316,221,142.99,12.0,264.0,7.18,False,False,True,True
2018,Ben Stokes,12.5,RR,Kane Williamson,Andrew Tye,Sunil Narine,196,161,121.74,8.0,222.0,8.19,False,False,False,False
2019,Jaydev Unadkat,8.4,RR,David Warner,Imran Tahir,Andre Russell,1,3,33.33,10.0,224.0,10.66,False,False,False,False
2020,Pat Cummins,15.5,KKR,KL Rahul,Kagiso Rabada,Jofra Archer,146,114,128.07,12.0,312.0,7.87,False,False,False,False
2021,Chris Morris,16.25,RR,Ruturaj Gaikwad,Harshal Patel,Harshal Patel,67,49,136.73,15.0,246.0,9.17,False,False,False,False
2022,Ishan Kishan,15.25,MI,Jos Buttler,Yuzvendra Chahal,Jos Buttler,418,348,120.11,19.0,286.0,8.73,False,False,False,False
2023,Sam Curran,18.5,PBKS,Shubman Gill,Mohammed Shami,Shubman Gill,276,203,135.96,10.0,287.0,10.22,False,False,False,False
2024,Mitchell Starc,24.75,KKR,Virat Kohli,Harshal Patel,Sunil Narine,9,11,81.82,17.0,251.0,10.61,False,False,False,False
2025,Rishabh Pant,27.0,LSG,Sai Sudharsan,Prasidh Krishna,Suryakumar Yadav,269,202,133.17,,,,False,False,False,False
